config_id,load_profile,net_delay_ms,fault_type,trial_in_session,cold_start,recovered,time_s,message,final_state,trial_id
idle_d0,idle,0,Network Timeout,67,False,True,0.802063,TCP connection verified — server responding,Operational,67
idle_d0,idle,0,Network Timeout,68,False,True,0.802215,TCP connection verified — server responding,Operational,68
idle_d0,idle,0,Network Timeout,69,False,True,0.802078,TCP connection verified — server responding,Operational,69
idle_d0,idle,0,Network Timeout,70,False,True,0.801876,TCP connection verified — server responding,Operational,70
idle_d0,idle,0,Network Timeout,71,False,True,0.802274,TCP connection verified — server responding,Operational,71
idle_d0,idle,0,Network Timeout,72,False,True,0.801955,TCP connection verified — server responding,Operational,72
idle_d0,idle,0,Network Timeout,73,False,True,0.802283,TCP connection verified — server responding,Operational,73
idle_d0,idle,0,Network Timeout,74,False,True,0.825438,TCP connection verified — server responding,Operational,74
idle_d0,idle,0,Network Timeout,75,False,True,0.801719,TCP connection verified — server responding,Operational,75
idle_d0,idle,0,Network Timeout,76,False,True,0.81979,TCP connection verified — server responding,Operational,76
idle_d0,idle,0,Network Timeout,77,False,True,0.82194,TCP connection verified — server responding,Operational,77
idle_d0,idle,0,Network Timeout,78,False,True,0.82673,TCP connection verified — server responding,Operational,78
idle_d0,idle,0,Network Timeout,79,False,True,0.802587,TCP connection verified — server responding,Operational,79
idle_d0,idle,0,Network Timeout,80,False,True,0.802281,TCP connection verified — server responding,Operational,80
idle_d0,idle,0,Network Timeout,81,False,True,0.801838,TCP connection verified — server responding,Operational,81
idle_d0,idle,0,Network Timeout,82,False,True,0.823765,TCP connection verified — server responding,Operational,82
idle_d0,idle,0,Network Timeout,83,False,True,0.801854,TCP connection verified — server responding,Operational,83
idle_d0,idle,0,Network Timeout,84,False,True,0.802051,TCP connection verified — server responding,Operational,84
idle_d0,idle,0,Network Timeout,85,False,True,0.812602,TCP connection verified — server responding,Operational,85
idle_d0,idle,0,Network Timeout,86,False,True,0.82607,TCP connection verified — server responding,Operational,86
idle_d0,idle,0,Network Timeout,87,False,True,0.802286,TCP connection verified — server responding,Operational,87
idle_d0,idle,0,Network Timeout,88,False,True,0.814632,TCP connection verified — server responding,Operational,88
idle_d0,idle,0,Network Timeout,89,False,True,0.825857,TCP connection verified — server responding,Operational,89
idle_d0,idle,0,Network Timeout,90,False,True,0.802404,TCP connection verified — server responding,Operational,90
idle_d0,idle,0,Network Timeout,91,False,True,0.802112,TCP connection verified — server responding,Operational,91
idle_d0,idle,0,Network Timeout,92,False,True,0.823974,TCP connection verified — server responding,Operational,92
idle_d0,idle,0,Network Timeout,93,False,True,0.801661,TCP connection verified — server responding,Operational,93
idle_d0,idle,0,Network Timeout,94,False,True,0.801832,TCP connection verified — server responding,Operational,94
idle_d0,idle,0,Network Timeout,95,False,True,0.819497,TCP connection verified — server responding,Operational,95
idle_d0,idle,0,Network Timeout,96,False,True,0.802237,TCP connection verified — server responding,Operational,96
idle_d0,idle,0,Network Timeout,97,False,True,0.801647,TCP connection verified — server responding,Operational,97
idle_d0,idle,0,Network Timeout,98,False,True,0.81506,TCP connection verified — server responding,Operational,98
idle_d0,idle,0,Network Timeout,99,False,True,0.821175,TCP connection verified — server responding,Operational,99
idle_d0,idle,0,Network Timeout,100,False,True,0.802394,TCP connection verified — server responding,Operational,100
idle_d0,idle,0,Database Failure,1,True,True,0.010748,"DB verified — 1 config rows, write test passed",Operational,101
idle_d0,idle,0,Database Failure,2,False,True,0.012178,"DB verified — 1 config rows, write test passed",Operational,102
idle_d0,idle,0,Database Failure,3,False,True,0.010054,"DB verified — 1 config rows, write test passed",Operational,103
idle_d0,idle,0,Database Failure,4,False,True,0.009639,"DB verified — 1 config rows, write test passed",Operational,104
idle_d0,idle,0,Database Failure,5,False,True,0.010203,"DB verified — 1 config rows, write test passed",Operational,105
idle_d0,idle,0,Database Failure,6,False,True,0.009709,"DB verified — 1 config rows, write test passed",Operational,106
idle_d0,idle,0,Database Failure,7,False,True,0.010119,"DB verified — 1 config rows, write test passed",Operational,107
idle_d0,idle,0,Database Failure,8,False,True,0.010226,"DB verified — 1 config rows, write test passed",Operational,108
idle_d0,idle,0,Database Failure,9,False,True,0.008962,"DB verified — 1 config rows, write test passed",Operational,109
idle_d0,idle,0,Database Failure,10,False,True,0.009968,"DB verified — 1 config rows, write test passed",Operational,110
idle_d0,idle,0,Database Failure,11,False,True,0.010383,"DB verified — 1 config rows, write test passed",Operational,111
idle_d0,idle,0,Database Failure,12,False,True,0.009675,"DB verified — 1 config rows, write test passed",Operational,112
idle_d0,idle,0,Database Failure,13,False,True,0.011542,"DB verified — 1 config rows, write test passed",Operational,113
idle_d0,idle,0,Database Failure,14,False,True,0.010235,"DB verified — 1 config rows, write test passed",Operational,114
idle_d0,idle,0,Database Failure,15,False,True,0.009302,"DB verified — 1 config rows, write test passed",Operational,115
idle_d0,idle,0,Database Failure,16,False,True,0.010293,"DB verified — 1 config rows, write test passed",Operational,116
idle_d0,idle,0,Database Failure,17,False,True,0.009601,"DB verified — 1 config rows, write test passed",Operational,117
idle_d0,idle,0,Database Failure,18,False,True,0.011513,"DB verified — 1 config rows, write test passed",Operational,118
idle_d0,idle,0,Database Failure,19,False,True,0.011686,"DB verified — 1 config rows, write test passed",Operational,119
idle_d0,idle,0,Database Failure,20,False,True,0.023272,"DB verified — 1 config rows, write test passed",Operational,120
idle_d0,idle,0,Database Failure,21,False,True,0.022323,"DB verified — 1 config rows, write test passed",Operational,121
idle_d0,idle,0,Database Failure,22,False,True,0.016849,"DB verified — 1 config rows, write test passed",Operational,122
idle_d0,idle,0,Database Failure,23,False,True,0.013731,"DB verified — 1 config rows, write test passed",Operational,123
idle_d0,idle,0,Database Failure,24,False,True,0.015987,"DB verified — 1 config rows, write test passed",Operational,124
idle_d0,idle,0,Database Failure,25,False,True,0.012115,"DB verified — 1 config rows, write test passed",Operational,125
idle_d0,idle,0,Database Failure,26,False,True,0.010595,"DB verified — 1 config rows, write test passed",Operational,126
idle_d0,idle,0,Database Failure,27,False,True,0.008818,"DB verified — 1 config rows, write test passed",Operational,127
idle_d0,idle,0,Database Failure,28,False,True,0.010666,"DB verified — 1 config rows, write test passed",Operational,128
idle_d0,idle,0,Database Failure,29,False,True,0.009774,"DB verified — 1 config rows, write test passed",Operational,129
idle_d0,idle,0,Database Failure,30,False,True,0.010247,"DB verified — 1 config rows, write test passed",Operational,130
idle_d0,idle,0,Database Failure,31,False,True,0.011875,"DB verified — 1 config rows, write test passed",Operational,131
idle_d0,idle,0,Database Failure,32,False,True,0.010745,"DB verified — 1 config rows, write test passed",Operational,132
idle_d0,idle,0,Database Failure,33,False,True,0.010613,"DB verified — 1 config rows, write test passed",Operational,133
idle_d0,idle,0,Database Failure,34,False,True,0.010431,"DB verified — 1 config rows, write test passed",Operational,134
idle_d0,idle,0,Database Failure,35,False,True,0.009572,"DB verified — 1 config rows, write test passed",Operational,135
idle_d0,idle,0,Database Failure,36,False,True,0.012482,"DB verified — 1 config rows, write test passed",Operational,136
idle_d0,idle,0,Database Failure,37,False,True,0.01127,"DB verified — 1 config rows, write test passed",Operational,137
idle_d0,idle,0,Database Failure,38,False,True,0.011354,"DB verified — 1 config rows, write test passed",Operational,138
idle_d0,idle,0,Database Failure,39,False,True,0.011996,"DB verified — 1 config rows, write test passed",Operational,139
idle_d0,idle,0,Database Failure,40,False,True,0.010924,"DB verified — 1 config rows, write test passed",Operational,140
idle_d0,idle,0,Database Failure,41,False,True,0.010471,"DB verified — 1 config rows, write test passed",Operational,141
idle_d0,idle,0,Database Failure,42,False,True,0.010958,"DB verified — 1 config rows, write test passed",Operational,142
idle_d0,idle,0,Database Failure,43,False,True,0.010556,"DB verified — 1 config rows, write test passed",Operational,143
idle_d0,idle,0,Database Failure,44,False,True,0.010563,"DB verified — 1 config rows, write test passed",Operational,144
idle_d0,idle,0,Database Failure,45,False,True,0.011867,"DB verified — 1 config rows, write test passed",Operational,145
idle_d0,idle,0,Database Failure,46,False,True,0.011425,"DB verified — 1 config rows, write test passed",Operational,146
idle_d0,idle,0,Database Failure,47,False,True,0.009623,"DB verified — 1 config rows, write test passed",Operational,147
idle_d0,idle,0,Database Failure,48,False,True,0.011965,"DB verified — 1 config rows, write test passed",Operational,148
idle_d0,idle,0,Database Failure,49,False,True,0.01178,"DB verified — 1 config rows, write test passed",Operational,149
idle_d0,idle,0,Database Failure,50,False,True,0.010494,"DB verified — 1 config rows, write test passed",Operational,150
idle_d0,idle,0,Database Failure,51,False,True,0.01004,"DB verified — 1 config rows, write test passed",Operational,151
idle_d0,idle,0,Database Failure,52,False,True,0.010349,"DB verified — 1 config rows, write test passed",Operational,152
idle_d0,idle,0,Database Failure,53,False,True,0.008897,"DB verified — 1 config rows, write test passed",Operational,153
idle_d0,idle,0,Database Failure,54,False,True,0.012564,"DB verified — 1 config rows, write test passed",Operational,154
idle_d0,idle,0,Database Failure,55,False,True,0.012507,"DB verified — 1 config rows, write test passed",Operational,155
idle_d0,idle,0,Database Failure,56,False,True,0.010594,"DB verified — 1 config rows, write test passed",Operational,156
idle_d0,idle,0,Database Failure,57,False,True,0.010654,"DB verified — 1 config rows, write test passed",Operational,157
idle_d0,idle,0,Database Failure,58,False,True,0.010179,"DB verified — 1 config rows, write test passed",Operational,158
idle_d0,idle,0,Database Failure,59,False,True,0.009426,"DB verified — 1 config rows, write test passed",Operational,159
idle_d0,idle,0,Database Failure,60,False,True,0.009842,"DB verified — 1 config rows, write test passed",Operational,160
idle_d0,idle,0,Database Failure,61,False,True,0.010036,"DB verified — 1 config rows, write test passed",Operational,161
idle_d0,idle,0,Database Failure,62,False,True,0.010238,"DB verified — 1 config rows, write test passed",Operational,162
idle_d0,idle,0,Database Failure,63,False,True,0.009729,"DB verified — 1 config rows, write test passed",Operational,163
idle_d0,idle,0,Database Failure,64,False,True,0.009172,"DB verified — 1 config rows, write test passed",Operational,164
idle_d0,idle,0,Database Failure,65,False,True,0.010484,"DB verified — 1 config rows, write test passed",Operational,165
idle_d0,idle,0,Database Failure,66,False,True,0.009796,"DB verified — 1 config rows, write test passed",Operational,166
idle_d0,idle,0,Database Failure,67,False,True,0.012174,"DB verified — 1 config rows, write test passed",Operational,167
idle_d0,idle,0,Database Failure,68,False,True,0.011375,"DB verified — 1 config rows, write test passed",Operational,168
idle_d0,idle,0,Database Failure,69,False,True,0.009244,"DB verified — 1 config rows, write test passed",Operational,169
idle_d0,idle,0,Database Failure,70,False,True,0.010371,"DB verified — 1 config rows, write test passed",Operational,170
idle_d0,idle,0,Database Failure,71,False,True,0.010201,"DB verified — 1 config rows, write test passed",Operational,171
idle_d0,idle,0,Database Failure,72,False,True,0.008559,"DB verified — 1 config rows, write test passed",Operational,172
idle_d0,idle,0,Database Failure,73,False,True,0.009954,"DB verified — 1 config rows, write test passed",Operational,173
idle_d0,idle,0,Database Failure,74,False,True,0.009465,"DB verified — 1 config rows, write test passed",Operational,174
idle_d0,idle,0,Database Failure,75,False,True,0.009948,"DB verified — 1 config rows, write test passed",Operational,175
idle_d0,idle,0,Database Failure,76,False,True,0.010483,"DB verified — 1 config rows, write test passed",Operational,176
idle_d0,idle,0,Database Failure,77,False,True,0.008891,"DB verified — 1 config rows, write test passed",Operational,177
idle_d0,idle,0,Database Failure,78,False,True,0.009263,"DB verified — 1 config rows, write test passed",Operational,178
idle_d0,idle,0,Database Failure,79,False,True,0.008462,"DB verified — 1 config rows, write test passed",Operational,179
idle_d0,idle,0,Database Failure,80,False,True,0.009887,"DB verified — 1 config rows, write test passed",Operational,180
idle_d0,idle,0,Database Failure,81,False,True,0.009214,"DB verified — 1 config rows, write test passed",Operational,181
idle_d0,idle,0,Database Failure,82,False,True,0.010306,"DB verified — 1 config rows, write test passed",Operational,182
idle_d0,idle,0,Database Failure,83,False,True,0.010229,"DB verified — 1 config rows, write test passed",Operational,183
idle_d0,idle,0,Database Failure,84,False,True,0.008754,"DB verified — 1 config rows, write test passed",Operational,184
idle_d0,idle,0,Database Failure,85,False,True,0.009579,"DB verified — 1 config rows, write test passed",Operational,185
idle_d0,idle,0,Database Failure,86,False,True,0.009258,"DB verified — 1 config rows, write test passed",Operational,186
idle_d0,idle,0,Database Failure,87,False,True,0.010451,"DB verified — 1 config rows, write test passed",Operational,187
